total_size,file_size,total_time
2,128,6.141313110
2,256,4.135001813
2,512,3.417604939
2,1024,2.613543732
2,2048,2.310051316
2,4096,2.288495101
2,8192,1.704749257
2,16384,1.713306525
2,32768,2.054359232
2,65536,1.963120200
2,131072,1.930296371
4,128,13.153035218
4,256,9.778923108
4,512,7.212304865
4,1024,5.591363976
4,2048,5.580365336
4,4096,3.953610035
4,8192,3.196427747
4,16384,3.739345898
4,32768,3.841866014
4,65536,3.832245475
4,131072,3.195374423
8,128,53.820923580
8,256,26.898670254
8,512,21.395469012
8,1024,19.177092774
8,2048,18.469299138
8,4096,16.502290970
8,8192,15.580098418
8,16384,15.105301135
8,32768,15.162612995
8,65536,14.968063611
8,131072,14.843874946
