threadpool_size,block_size,batch_completion_time
2,180,1.9480534666462948
4,100,1.8482308387756348
1,100,1.9840914261968512
8,280,1.9864507210560334
8,100,1.913700687257867
4,80,1.8992552255329334
8,60,1.8513460473010415
1,80,1.9145106077194214
1,180,1.9747570878580998
4,200,1.974573474181326
1,160,1.9860668182373047
4,40,1.8194741512599744
4,20,1.8942862811841463
1,60,1.8803183718731529
2,100,1.9137596331144635
2,220,1.9760228771912425
8,200,1.9106311986320896
2,180,1.9445890564667552
1,80,1.8991495747315257
4,140,1.9271136334067898
